MOV A,B	00000000000000000001
MOV B,A	00000000000000000010
MOV A,Lit	00000000000000000100
MOV B,Lit	00000000000000001000
MOV A,(Dir)	00000000000000010000
MOV B,(Dir)	00000000000000100000
MOV (Dir),A	00000000000001000000
MOV (Dir),B	00000000000000000011
MOV A,(B)	00000000000001110010
MOV B,(B)	00000000000001110100
MOV (B),A	00000000000001110110
MOV (B),Lit	00000000000001100110
ADD A,B	00000000000000000101
ADD B,A	00000000000000001001
ADD A,Lit	00000000000000010001
ADD B,Lit	00000000000000100001
ADD A,(Dir)	00000000000001000001
ADD B,(Dir)	00000000000000000111
ADD A,(B)	00000000000001111010
ADD B,(B)	00000000000001100100
ADD (Dir)	00000000000000001011
SUB A,B	00000000000000010011
SUB B,A	00000000000000100011
SUB A,Lit	00000000000001000011
SUB B,Lit	00000000000000001111
SUB A,(Dir)	00000000000000010111
SUB B,(Dir)	00000000000000100111
SUB A,(B)	00000000000001101000
SUB B,(B)	00000000000001100010
SUB (Dir)	00000000000001000111
AND A,B	00000000000000011111
AND B,A	00000000000000101111
AND A,Lit	00000000000001001111
AND B,Lit	00000000000000111111
AND A,(Dir)	00000000000001011111
AND B,(Dir)	00000000000001111111
AND A,(B)	00000000000001101010
AND B,(B)	00000000000001100000
AND (Dir)	00000000000000000110
OR A,B	00000000000000001010
OR B,A	00000000000000010010
OR A,Lit	00000000000000100010
OR B,Lit	00000000000001000010
OR A,(Dir)	00000000000000001110
OR B,(Dir)	00000000000000010110
OR A,(B)	00000000000001101100
OR B,(B)	00000000000001011101
OR (Dir)	00000000000000100110
XOR A,B	00000000000001000110
XOR B,A	00000000000000011110
XOR A,Lit	00000000000000101110
XOR B,Lit	00000000000001001110
XOR A,(Dir)	00000000000000111110
XOR B,(Dir)	00000000000001011110
XOR A,(B)	00000000000001101110
XOR B,(B)	00000000000001011011
XOR (Dir)	00000000000001111110
NOT A	00000000000000001100
NOT B,A	00000000000000010100
NOT (Dir),A	00000000000000100100
NOT (B),A	00000000000001011001
SHL A	00000000000001000100
SHL B,A	00000000000000011100
SHL (Dir),A	00000000000000101100
SHL (B),A	00000000000001010111
SHR A	00000000000001001100
SHR B,A	00000000000000111100
SHR (Dir),A	00000000000001011100
SHR (B),A	00000000000001010101
INC A	00000000000000010001
INC B	00000000000000011000
INC (Dir)	00000000000000101000
DEC A	00000000000001000011
INC (B)	00000000000001010011
CMP A,B	00000000000000111000
CMP A,Lit	00000000000001011000
CMP A,(Dir)	00000000000001111000
CMP A,(B)	00000000000001010001
JMP Ins	00000000000000110000
JEQ Ins	00000000000001010000
JNE Ins	00000000000001110000
JGT Ins	00000000000001100111
JLT Ins	00000000000001101001
JGE Ins	00000000000001101011
JLE Ins	00000000000001101101
JCR Ins	00000000000001101111
CALL Ins	00000000000001110011
RET	00000000000001110101
	00000000000001100101
PUSH A	00000000000001110111
PUSH B	00000000000001111001
POP A	00000000000001111011
	00000000000001100001
POP B	00000000000001111011
	00000000000001100011
NOP	00000000000000000000
